USB2E5653_1		
372.62	-201.56	
372.999	1.44	
373.378	8.44	
373.757	7.44	
374.136	4.44	
374.515	13.44	
374.894	15.44	
375.273	12.44	
375.651	9.44	
376.03	12.44	
376.409	12.44	
376.788	19.44	
377.166	11.44	
377.545	14.44	
377.924	14.44	
378.302	16.44	
378.681	13.44	
379.059	14.44	
379.438	16.44	
379.816	13.44	
380.195	14.44	
380.573	11.44	
380.951	14.44	
381.329	15.44	
381.708	14.44	
382.086	17.44	
382.464	14.44	
382.842	11.44	
383.22	15.44	
383.598	12.44	
383.976	15.44	
384.354	16.44	
384.732	9.44	
385.11	13.44	
385.488	14.44	
385.866	11.44	
386.244	18.44	
386.621	19.44	
386.999	16.44	
387.377	15.44	
387.754	15.44	
388.132	13.44	
388.509	15.44	
388.887	11.44	
389.264	19.44	
389.642	12.44	
390.019	81.44	
390.397	15.44	
390.774	16.44	
391.151	13.44	
391.528	18.44	
391.906	21.44	
392.283	15.44	
392.66	15.44	
393.037	21.44	
393.414	18.44	
393.791	14.44	
394.168	17.44	
394.545	13.44	
394.922	12.44	
395.299	18.44	
395.676	16.44	
396.052	14.44	
396.429	16.44	
396.806	18.44	
397.183	14.44	
397.559	17.44	
397.936	16.44	
398.312	22.44	
398.689	15.44	
399.065	18.44	
399.442	14.44	
399.818	18.44	
400.195	15.44	
400.571	23.44	
400.947	16.44	
401.324	16.44	
401.7	20.44	
402.076	22.44	
402.452	11.44	
402.828	13.44	
403.204	21.44	
403.58	14.44	
403.956	16.44	
404.332	22.44	
404.708	12.44	
405.084	17.44	
405.46	13.44	
405.836	19.44	
406.211	21.44	
406.587	16.44	
406.963	16.44	
407.338	15.44	
407.714	11.44	
408.089	18.44	
408.465	19.44	
408.84	19.44	
409.216	14.44	
409.591	20.44	
409.967	14.44	
410.342	14.44	
410.717	19.44	
411.093	25.44	
411.468	23.44	
411.843	17.44	
412.218	18.44	
412.593	21.44	
412.968	13.44	
413.343	16.44	
413.718	14.44	
414.093	14.44	
414.468	17.44	
414.843	21.44	
415.218	14.44	
415.593	15.44	
415.967	20.44	
416.342	17.44	
416.717	18.44	
417.091	17.44	
417.466	23.44	
417.84	14.44	
418.215	17.44	
418.589	15.44	
418.964	23.44	
419.338	16.44	
419.713	19.44	
420.087	20.44	
420.461	19.44	
420.835	16.44	
421.21	16.44	
421.584	15.44	
421.958	16.44	
422.332	22.44	
422.706	21.44	
423.08	16.44	
423.454	18.44	
423.828	15.44	
424.202	17.44	
424.576	15.44	
424.949	17.44	
425.323	20.44	
425.697	16.44	
426.071	15.44	
426.444	20.44	
426.818	17.44	
427.191	10.44	
427.565	20.44	
427.939	14.44	
428.312	16.44	
428.685	20.44	
429.059	17.44	
429.432	15.44	
429.805	19.44	
430.179	17.44	
430.552	18.44	
430.925	16.44	
431.298	20.44	
431.671	18.44	
432.044	20.44	
432.417	22.44	
432.79	20.44	
433.163	18.44	
433.536	19.44	
433.909	18.44	
434.282	17.44	
434.655	17.44	
435.027	22.44	
435.4	13.44	
435.773	20.44	
436.145	17.44	
436.518	21.44	
436.891	12.44	
437.263	24.44	
437.636	6.44	
438.008	15.44	
438.38	16.44	
438.753	22.44	
439.125	14.44	
439.497	17.44	
439.87	15.44	
440.242	17.44	
440.614	19.44	
440.986	16.44	
441.358	19.44	
441.73	17.44	
442.102	11.44	
442.474	14.44	
442.846	19.44	
443.218	24.44	
443.59	19.44	
443.962	19.44	
444.333	18.44	
444.705	22.44	
445.077	14.44	
445.448	20.44	
445.82	23.44	
446.192	16.44	
446.563	17.44	
446.935	15.44	
447.306	19.44	
447.677	22.44	
448.049	16.44	
448.42	17.44	
448.791	25.44	
449.163	19.44	
449.534	12.44	
449.905	29.44	
450.276	18.44	
450.647	19.44	
451.018	20.44	
451.389	14.44	
451.76	18.44	
452.131	26.44	
452.502	19.44	
452.873	13.44	
453.244	17.44	
453.615	23.44	
453.985	22.44	
454.356	14.44	
454.727	15.44	
455.097	25.44	
455.468	19.44	
455.838	16.44	
456.209	19.44	
456.579	20.44	
456.95	24.44	
457.32	17.44	
457.69	12.44	
458.061	18.44	
458.431	24.44	
458.801	15.44	
459.171	16.44	
459.541	19.44	
